alloy_name,Ti,Al,V,Fe,Mo,Zr,Si,C,O,H,Cr,Cu,Nb,Sn,Ni,Ta,Co,B,Mn,ys,uts,elongation,AM,paper
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.5,942.5,10.15,Not specified,1-s2.0-S0921509316315659-main.pdf
Ti-6.5Al-3.5Mo-1.5Zr-0.3Si,85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830,925,16.08,WAAM,1-s2.0-S0921509318315399-main.pdf
Ti-6Al-4V,85.31,10.31,3.53,0.06,0.0,0.0,0.0,0.08,0.4,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826,902,11.6,Not specified,1-s2.0-S0921509319306471-main.pdf
Commercially Pure Titanium (CP-Ti),100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408,480,26.67,"SLM, Not specified, WAAM",1-s2.0-S0921509319307890-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581,649.5,16.25,WAAM,1-s2.0-S0921509319310755-main.pdf
Ti-6Al-4V,84.82,10.09,3.56,0.02,0.0,0.0,0.0,0.87,0.51,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867,920,16.2,Not specified,1-s2.0-S0921509320306237-main (1).pdf
Ti-6Al-4V,84.82,10.09,3.56,0.02,0.0,0.0,0.0,0.87,0.51,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867,920,16.2,Not specified,1-s2.0-S0921509320306237-main (2).pdf
Ti-6Al-4V,84.82,10.09,3.56,0.02,0.0,0.0,0.0,0.87,0.51,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867,920,16.2,Not specified,1-s2.0-S0921509320306237-main.pdf
Ti-55511,82.31,8.8,4.66,0.85,2.47,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1200,40,EBM,1-s2.0-S0921509321005141-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.9,932,10.35,SLM and EBM,1-s2.0-S0921509321006535-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893,975,26.4,SLM,1-s2.0-S0921509322015544-main.pdf
Ti-6Al-4V,85.31,10.31,3.53,0.06,0.0,0.0,0.0,0.08,0.4,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761,861,12.7,Not specified,1-s2.0-S0921509323000254-main.pdf
Ti6Al4V5Cu,82.39,10.32,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1460,11.2,LPBF,1-s2.0-S0921509323001752-main.pdf
Ti6Al4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1562,5,DED,1-s2.0-S0921509323010031-main (1).pdf
Ti6Al4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1562,5,DED,1-s2.0-S0921509323010031-main.pdf
Ti65,85.06,9.89,0.0,0.0,0.26,1.77,0.75,0.23,0.0,0.0,0.0,0.0,0.17,1.65,0.0,0.22,0.0,0.0,0.0,943,1035.5,6.  025,LDEP,1-s2.0-S092150932400933X-main.pdf
Ti-5Al-4Cr-4Mo-4V-3Zr,80.09,8.88,3.76,0.0,2.0,1.58,0.0,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026,1152,13.  8,Not specified,1-s2.0-S0921509324015429-main.pdf
Ti-0.4 wt%Ni,99.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,890,974,6.1,SLM,1-s2.0-S092150932500334X-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879,958,10.75,WAAM,1-s2.0-S0924013620301035-main.pdf
Ti6Al4V titanium alloy,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,892.85,11.22,LAM,1-s2.0-S0924013622002850-main.pdf
TC11 titanium alloy,85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,1062,10.8,LAM,1-s2.0-S0924013624002206-main.pdf
TC11,85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,LMD,1-s2.0-S0925838815003540-main (1).pdf
TC11 (Ti-6.5Al-3.5Mo-1.5Zr-0.3Si),85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,LMD,1-s2.0-S0925838815003540-main.pdf
TC4,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,LAM,1-s2.0-S0925838818341720-main.pdf
Ti-15Mo,91.91,0.0,0.0,0.0,8.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480,815,17.14,DED,1-s2.0-S0925838819305626-main.pdf
TA15 (Ti-6.5Al-2Zr-1Mo-1V),86.46,11.14,0.91,0.0,0.48,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839,914,5.  3,WAAM,1-s2.0-S0925838819345803-main (1).pdf
TA15 (Ti-6.5Al-2Zr-1Mo-1V) titanium alloy,86.46,11.14,0.91,0.0,0.48,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839,914,5.  3,Not specified,1-s2.0-S0925838819345803-main.pdf
TC17,82.8,9.3,0.0,0.0,2.09,1.1,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,Not specified,1114,8,WAAM,1-s2.0-S0925838821028826-main.pdf
TC11,85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,824,7.25,WAAM,1-s2.0-S0925838822024471-main.pdf
Ti-6Al-4V (TC4) and Ti-6.5Al-3.5Mo-1.5Zr-0.3Si (TC11) bionic gradient heterogeneous alloy,84.75,10.48,3.33,0.0,0.82,0.37,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.89,793.14,5.42,WAAM,1-s2.0-S0925838822032042-main.pdf
Ti-6.5Al-3.5Mo-1.5Zr-0.3Si titanium alloy,85.82,11.22,0.0,0.0,1.7,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030,1101,10.  2,LMD,1-s2.0-S100363261563792X-main.pdf
TC17 titanium alloy,82.8,9.3,0.0,0.0,2.09,1.1,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,1104,1146,8.8,LAM,1-s2.0-S1003632618646369-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,"SMD, LMwD-0, LMwD-2, LMPD, EBM, SLM",1-s2.0-S1044580317326050-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106,Not specified,11.4,SLM,1-s2.0-S1359645414008817-main.pdf
Ti-6Al-4V,85.36,10.42,3.56,0.0,0.0,0.0,0.0,0.07,0.49,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959,1064,12.5,DED,1-s2.0-S135964541400980X-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825,1186,11,EBM,1-s2.0-S1359645418307626-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035,1143,14.2,SLM,1-s2.0-S1359645420301804-main.pdf
Ti/Ti-10Al,83.53,16.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760,890,33.  4,"LENS (Laser Engineered Net Shaping) is a type of directed energy deposition (DED). Based on the provided dictionary, the abbreviation for directed energy deposition is 'DED'. However, since LENS is given in the prompt, I will return 'LENS'.",1-s2.0-S1359645424007456-main.pdf
Commercially Pure Titanium (CP-Ti),99.5,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.33,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.2,Not specified,34.3,SLM,1-s2.0-S1359646220306229-main.pdf
Ti-6Al-4V-CoCrNi,85.59,10.51,3.63,0.02,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260,1336. 2,5.  08,LDEP,1-s2.0-S1359836822007727-main.pdf
Ti6Al4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,SLM,1-s2.0-S1526612520304606-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,LPBF,1-s2.0-S1526612520308203-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830,927,14.43,WAAM,1-s2.0-S1526612521005958-main.pdf
TC4 titanium alloy,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,674.81,Not specified,LMD,1-s2.0-S1526612521006629-main.pdf
TiAl6V4,85.55,10.55,3.65,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,SLM,1-s2.0-S2212827115009154-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,SLM,1-s2.0-S2214860414000074-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.15,Not specified,Not specified,DED,1-s2.0-S2214860414000177-main.pdf
Ti-1Al-8V-5Fe (Ti-185),86.36,1.78,7.55,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1696,0.11,SLM,1-s2.0-S2214860417306140-main.pdf
Ti-xCr,82.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,825,Not specified,Not specified,1-s2.0-S2214860419320779-main.pdf
Ti-6Al-2Sn-4Zr-2Mo (Ti6242),85.53,10.59,0.0,0.0,0.99,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,DED,1-s2.0-S2214860421001342-main.pdf
Ti6Al4V titanium alloy,85.91,10.1,3.44,0.13,0.0,0.0,0.0,0.04,0.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1303,12.7,LPBF,1-s2.0-S2214860423000295-main (1).pdf
Ti6Al4V titanium alloy,85.91,10.1,3.44,0.13,0.0,0.0,0.0,0.04,0.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1303,12.7,LPBF,1-s2.0-S2214860423000295-main.pdf
Ti-3Al-3Mo-3Zr-0.2Y,91.54,5.37,0.0,0.0,1.51,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1500,20.0,EPBF,1-s2.0-S221486042300057X-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305,Not specified,6.5,LPBF,1-s2.0-S2214860424000150-main.pdf
Ti-6Al-4V-3Fe-0.05B (TC4-Fe-B),83.49,10.22,3.61,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1315,1396,11.4,LDEP,1-s2.0-S2214860425002039-main.pdf
Ti6Al4V titanium alloy,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,1068.5,22.6,DMLS,1-s2.0-S2238785419311317-main.pdf
Ti-1.35Fe-0.36Cr-0.24Ni-0.05Mo,98.29,0.0,0.0,1.16,0.03,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,495,635,12,LMD,1-s2.0-S2238785423009341-main.pdf
Ti-6.5A1-3.3Mo-1.2Mn-1.7Zr-0.6Fe-0.3Si-0.15Cr-0.1Ni,84.04,11.25,0.0,0.5,1.61,0.87,0.5,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.02,1099,1247,9.2,LDEP,1-s2.0-S2238785423022378-main.pdf
Ti-6Al-4V,85.51,10.15,3.58,0.08,0.0,0.0,0.0,0.11,0.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,Not specified,1-s2.0-S2351978915010264-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011,1077,5,LPBF,1-s2.0-S2352940724004268-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,SLM,1-s2.0-S2452321616304140-main.pdf
alpha titanium alloy,98.53,0.0,0.0,0.0,1.07,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1250,17,SLM,1-s2.0-S2589152918301625-main.pdf
Ti6Al4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584,844,16.5,DED,1-s2.0-S2589152923000121-main.pdf
Pure Titanium,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979,1058,11,LPBF,1-s2.0-S2590049823000073-main.pdf
Ti-6Al–2Sn–4Zr-2Mo,85.53,10.59,0.0,0.0,0.99,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,854,924.4,13.  5,Not specified,1-s2.0-S2772834X21000026-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,Not specified,Not specified,"LPBF, LDEP, EPBF",1-s2.0-S2772834X21000142-main.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885,1155,18.3,EBM,Adv Eng Mater - 2017 - Zhang - Additive Manufacturing of Titanium Alloys by Electron Beam Melting  A Review (1).pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.5,1087.5,13.65,EBM,Adv Eng Mater - 2017 - Zhang - Additive Manufacturing of Titanium Alloys by Electron Beam Melting  A Review.pdf
Ti-6Al-4V,83.96,10.37,3.57,0.2,0.0,0.0,0.0,1.14,0.0,0.68,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,991,10,WAAM,Adv Eng Mater - 2020 - Liu - Microstructural Characteristics and Mechanical Properties of Repaired Titanium Alloy Blade by (1).pdf
Ti-6Al-4V,85.85,10.53,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,991,10,WAAM,Adv Eng Mater - 2020 - Liu - Microstructural Characteristics and Mechanical Properties of Repaired Titanium Alloy Blade by.pdf
Ti6Al4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.  9,1000,15.5,EBM,Adv Eng Mater - 2023 - Mosallanejad - Additive Manufacturing of Titanium Alloys  Processability  Properties  and.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855,931,10,DED,applsci-07-00883-v2.pdf
Ti6Al4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950,1005,Not specified,SLM,applsci-11-02611-v2.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.5,Not specified,14.5,Not specified,A_model_for_Ti_6Al_4V_microstructure_evo.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779,872,6,"PBF, DED",document.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990,1042,9,DED,Liu2021_Article_AReviewOnAdditiveManufacturing.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772,868.5,4,SLM,matecconf_icmtmte2018_01064.pdf
Ti-6Al-Mo-1.5V-2Zr,86.81,10.33,1.37,0.0,0.48,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,"EBM, LMD",Materials   Corrosion - 2022 - Lavrys - Corrosion behavior of near‐alpha titanium alloy fabricated by additive.pdf
Ti6Al4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817,901,15,"SLM, EBM, and WAAM",out (1).pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895,1000,8,Not specified,out.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,1083,7.395,SLM and EBM,PIIS2405844022003292.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,"Okay, I will provide the abbreviations for the given Additive Manufacturing processes based on the provided dictionary and my knowledge.

*   LMD: LMD
*   SLM: SLM
*   SEBM: Not specified
*   DED: DED
*   PBF: PBF",Progress in additive manufacturing  additive repair and fatigue evaluation of aviation titanium alloy blades.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.4,1030.7,14,EBM,Rawal_AM_Ti64_PID2721135.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803,918,Not specified,WAAM,s11661-012-1444-6.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967,1063.5,13.5,SLM and EBM,s11661-017-4009-x.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,Not specified,11,SLM,s11837-017-2630-1.pdf
Ti-0.340-3.25Fe,96.21,0.0,0.0,2.78,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066,1157,9,DED,s41586-023-05952-6.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047,1140.7,11,Not specified,Sui_2022_Int._J._Extrem._Manuf._4_035102.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not specified,Not specified,Not specified,"SLM, EBM, LMD",trevisan-et-al-2017-additive-manufacturing-of-titanium-alloys-in-the-biomedical-field-processes-properties-and.pdf
Ti-6Al-4V,86.2,10.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828,895,10,"SLM, Not specified, LMD",xu-additivemanafacturing-2016.pdf
